idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
pim_tree,micro_predecessor,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,498.5536,102.3891866,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,534.8544,129.2987597,,,,,,,
pim_tree,micro_insert,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,985.088,331.4679808,,,,,,,
pim_tree,micro_insert,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,1020.416,355.8188646,,,,,,,
range_partitioning,micro_predecessor,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,163.1552,28.03417088,,,,,,,
range_partitioning,micro_predecessor,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,140.2048,5784.141824,,,,,,,
range_partitioning,micro_insert,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,216.1856,28.2279936,,,,,,,
range_partitioning,micro_insert,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,,219.8976,5780.872397,,,,,,,
ab-tree,micro_predecessor,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,18903500,1265.44,0,,,,,,,
ab-tree,micro_predecessor,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,20626500,1076.5568,0,,,,,,,
ab-tree,micro_insert,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,2632600,3636.7168,0,,,,,,,
ab-tree,micro_insert,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,2777500,3298.4832,0,,,,,,,
bst,micro_predecessor,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,6393800,2508.48,0,,,,,,,
bst,micro_predecessor,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,6980900,2162.4064,0,,,,,,,
bst,micro_insert,0.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,2758600,2905.9328,0,,,,,,,
bst,micro_insert,1.0,1000000,100000000,,FALSE,TRUE,FALSE,FALSE,2947200,2960.7424,0,,,,,,,
pim_tree,micro_predecessor,0.0,500000,100000000,,FALSE,TRUE,FALSE,FALSE,,388.2496,111.0915482,,,,,,,
pim_tree,micro_predecessor,0.0,200000,100000000,,FALSE,TRUE,FALSE,FALSE,,271.6928,131.220439,,,,,,,
pim_tree,micro_predecessor,0.0,100000,100000000,,FALSE,TRUE,FALSE,FALSE,,200.5248,157.4066586,,,,,,,
pim_tree,micro_predecessor,0.0,50000,100000000,,FALSE,TRUE,FALSE,FALSE,,163.1808,197.5269786,,,,,,,
pim_tree,micro_predecessor,0.0,20000,100000000,,FALSE,TRUE,FALSE,FALSE,,174.3872,284.7244288,,,,,,,
pim_tree,micro_predecessor,0.0,1000000,100000000,,FALSE,FALSE,TRUE,FALSE,,,,3.9279347,1.361533,0.0139263,2.885536,,,
