idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
pim_tree,micro_predecessor,0.0,1000000,100000000,,False,True,False,False,,498.5536,102.38918656,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,,False,True,False,False,,534.8544,129.298759680,,,,,,,
pim_tree,micro_insert,0.0,1000000,100000000,,False,True,False,False,,985.088,331.467980800,,,,,,,
pim_tree,micro_insert,1.0,1000000,100000000,,False,True,False,False,,1020.416,355.818864640,,,,,,,
range_partitioning,micro_predecessor,0.0,1000000,100000000,,False,True,False,False,,163.1552,28.034170880,,,,,,,
range_partitioning,micro_predecessor,1.0,1000000,100000000,,False,True,False,False,,140.2048,5784.141824000,,,,,,,
range_partitioning,micro_insert,0.0,1000000,100000000,,False,True,False,False,,216.1856,28.227993600,,,,,,,
range_partitioning,micro_insert,1.0,1000000,100000000,,False,True,False,False,,219.8976,5780.872396800,,,,,,,
ab-tree,micro_predecessor,0.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
ab-tree,micro_predecessor,1.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
ab-tree,micro_insert,0.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
ab-tree,micro_insert,1.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
bst,micro_predecessor,0.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
bst,micro_predecessor,1.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
bst,micro_insert,0.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
bst,micro_insert,1.0,1000000,100000000,,False,True,False,False,,nan,nan,,,,,,,
pim_tree,micro_predecessor,0.0,500000,100000000,,False,True,False,False,,388.2496,111.09154816,,,,,,,
pim_tree,micro_predecessor,0.0,200000,100000000,,False,True,False,False,,271.6928,131.22043904,,,,,,,
pim_tree,micro_predecessor,0.0,100000,100000000,,False,True,False,False,,200.5248,157.40665856,,,,,,,
pim_tree,micro_predecessor,0.0,50000,100000000,,False,True,False,False,,163.1808,197.52697856,,,,,,,
pim_tree,micro_predecessor,0.0,20000,100000000,,False,True,False,False,,174.3872,284.7244288,,,,,,,
pim_tree,micro_predecessor,0.0,1000000,100000000,,False,False,True,False,,,,3.9279346999999993,1.3615329999999997,0.0139263,2.885536,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,,False,False,True,False,,,,3.9501324,1.904839,0.0248096,2.670039,,,
pim_tree,micro_insert,0.0,1000000,100000000,,False,False,True,False,,,,11.530728000000002,2.065149999999999,2.14979,3.601732,,,
pim_tree,micro_insert,1.0,1000000,100000000,,False,False,True,False,,,,14.01444,2.5650589999999998,2.0807,2.9282010000000005,,,
